id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,es_simulado,habilidades,cluster,silhouette_score,pca_x,pca_y,nombre_cluster
165,Scrum Master,Scrum Master,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-03-30,1800.0,2100.0,1,Gestión & Agile,"En Autoridad del Canal de Panamá (ACP) requerimos Scrum Master con experiencia en Jira, Excel, Scrum para liderar nuestra transformación digital.",1,"Excel,Agile,Scrum,Jira",3,0.2648,0.43873705164112703,-0.33657657274003877,Backend / Core Systems
166,Administrador de Sistemas,Administrador de Sistemas,Banco General,Konzerta,2026-02-17,1000.0,1600.0,1,Soporte & IT,"En Banco General requerimos Administrador de Sistemas con experiencia en Linux, Jira, Windows Server para liderar nuestra transformación digital.",1,"Excel,Jira,Linux,Windows Server,Cisco",3,0.2648,0.413579253372256,-0.5566835235432395,Backend / Core Systems
167,Ingeniero de Soporte,Ingeniero de Soporte,Caja de Seguro Social,Konzerta,2026-03-19,900.0,1700.0,2,Soporte & IT,"Buscamos un Ingeniero de Soporte para nuestro equipo de tecnología en Caja de Seguro Social, Panamá.",1,"Jira,Linux",3,0.2648,0.19384404356719562,-0.5490436191258158,Backend / Core Systems
168,Python Developer,Python Developer,GBM Panamá,Konzerta,2026-02-14,1700.0,2300.0,2,Backend,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca Python Developer con al menos 2 años de experiencia.,1,"PostgreSQL,Java,.NET,C#",2,0.2648,-0.12771548568310326,-0.0008751950666455064,DevOps & Cloud
169,Fullstack Engineer,Fullstack Engineer,Banco General,Computrabajo,2026-01-03,1600.0,2000.0,1,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Banco General, Panamá.",1,"Node.js,Git",2,0.2648,-0.35073797063235507,0.059712908953001555,DevOps & Cloud
170,Administrador de Sistemas,Administrador de Sistemas,Banco General,Konzerta,2026-05-27,900.0,1800.0,3,Soporte & IT,"Buscamos un Administrador de Sistemas para nuestro equipo de tecnología en Banco General, Panamá.",1,"Excel,Jira,Linux,Windows Server,Cisco",3,0.2648,0.413579253372256,-0.5566835235432395,Backend / Core Systems
171,React Developer,React Developer,PwC Panamá,Computrabajo,2025-12-24,1400.0,1900.0,2,Frontend,Gran oportunidad en Ciudad de Panamá. PwC Panamá busca React Developer con al menos 2 años de experiencia.,1,"HTML,Vue,TypeScript,Angular,CSS",0,0.2648,-0.2179662797277677,-0.07536030819714218,Frontend / UI Web
172,Soporte Técnico IT,Soporte Técnico IT,GBM Panamá,LinkedIn,2026-03-06,900.0,1300.0,2,Soporte & IT,"En GBM Panamá requerimos Soporte Técnico IT con experiencia en Jira, Excel, Cisco para liderar nuestra transformación digital.",1,"Excel,Jira,Linux,Cisco",3,0.2648,0.42308362707845676,-0.44407528827361,Backend / Core Systems
173,BI Engineer,BI Engineer,Banco General,Computrabajo,2026-02-02,1800.0,2500.0,3,Data & Analytics,"En Banco General requerimos BI Engineer con experiencia en SQL, Excel, Spark para liderar nuestra transformación digital.",1,"Excel,SQL,Spark,Power BI",2,0.2648,0.19473985805579339,0.28085708220316064,DevOps & Cloud
174,React Developer,React Developer,Cable & Wireless,Konzerta,2026-05-20,1700.0,2700.0,3,Frontend,"Buscamos un React Developer para nuestro equipo de tecnología en Cable & Wireless, Panamá.",1,"HTML,Angular,JavaScript",0,0.2648,-0.2666667558815642,-0.05500626767759147,Frontend / UI Web
175,Fullstack Engineer,Fullstack Engineer,Multibank,Konzerta,2026-02-01,2500.0,3400.0,3,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Multibank, Panamá.",1,"Python,Node.js,Git,AWS,React",2,0.2648,-0.4775555625498759,0.09522748356386027,DevOps & Cloud
176,React Developer,React Developer,PwC Panamá,Konzerta,2026-03-23,1500.0,2300.0,3,Frontend,Gran oportunidad en Ciudad de Panamá. PwC Panamá busca React Developer con al menos 3 años de experiencia.,1,"TypeScript,Git,JavaScript,React",0,0.2648,-0.4646187474067364,0.00629560553394277,Frontend / UI Web
177,Android Developer,Android Developer,Copa Airlines,LinkedIn,2026-01-11,1700.0,2400.0,3,Mobile,"Buscamos un Android Developer para nuestro equipo de tecnología en Copa Airlines, Panamá.",1,"Git,Flutter,Swift,React Native",0,0.2648,-0.4633767630000463,-0.016015005230959604,Frontend / UI Web
178,Java Engineer,Java Engineer,Tigo Panamá,LinkedIn,2026-03-15,2200.0,3400.0,2,Backend,"Buscamos un Java Engineer para nuestro equipo de tecnología en Tigo Panamá, Panamá.",1,"Python,C#",2,0.2648,-0.18496688495381458,0.020317695484758314,DevOps & Cloud
179,Fullstack Engineer,Fullstack Engineer,Banco General,LinkedIn,2026-01-22,2100.0,3500.0,1,Fullstack,Gran oportunidad en Ciudad de Panamá. Banco General busca Fullstack Engineer con al menos 1 años de experiencia.,1,"Python,React",2,0.2648,-0.3760463040838717,0.045805712981891476,DevOps & Cloud
180,DevOps Engineer,DevOps Engineer,Multibank,Computrabajo,2026-04-15,2000.0,2700.0,1,DevOps & Cloud,"Buscamos un DevOps Engineer para nuestro equipo de tecnología en Multibank, Panamá.",1,"Python,Kubernetes,Azure",2,0.2648,-0.19534437272267233,-0.02857622547555511,DevOps & Cloud
181,Fullstack Engineer,Fullstack Engineer,Banco General,LinkedIn,2026-04-04,2400.0,2700.0,1,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Banco General, Panamá.",1,"Node.js,Git,JavaScript,React",0,0.2648,-0.5100741836874233,0.06543748718189565,Frontend / UI Web
182,Analista de Datos,Analista de Datos,Sonda Panamá,Computrabajo,2026-06-08,2400.0,3500.0,1,Data & Analytics,Gran oportunidad en Ciudad de Panamá. Sonda Panamá busca Analista de Datos con al menos 1 años de experiencia.,1,"Excel,SQL,Spark",1,0.2648,0.3346743693193847,0.4048907847028166,Data & Analytics / BI
183,Mobile Developer,Mobile Developer,Banistmo,LinkedIn,2026-01-14,1800.0,2300.0,1,Mobile,"Buscamos un Mobile Developer para nuestro equipo de tecnología en Banistmo, Panamá.",1,"Git,Flutter,Kotlin,React Native",0,0.2648,-0.4658566463276532,-0.015817353311258154,Frontend / UI Web
184,Android Developer,Android Developer,Caja de Seguro Social,Computrabajo,2026-05-15,1800.0,3000.0,1,Mobile,Gran oportunidad en Ciudad de Panamá. Caja de Seguro Social busca Android Developer con al menos 1 años de experiencia.,1,"Git,JavaScript,Swift,Kotlin,React Native",0,0.2648,-0.5296140703465875,-0.010891685147744155,Frontend / UI Web
185,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Multibank,Konzerta,2026-01-31,2400.0,4400.0,2,DevOps & Cloud,"En Multibank requerimos Cloud Infrastructure Specialist con experiencia en Docker, Terraform para liderar nuestra transformación digital.",1,"Docker,Terraform",2,0.2648,-0.15923522860260816,-0.026090774912010572,DevOps & Cloud
186,Ingeniero de Soporte,Ingeniero de Soporte,Banistmo,LinkedIn,2026-05-06,1100.0,1700.0,1,Soporte & IT,"En Banistmo requerimos Ingeniero de Soporte con experiencia en Jira, Linux para liderar nuestra transformación digital.",1,"Jira,Linux",3,0.2648,0.19384404356719562,-0.5490436191258158,Backend / Core Systems
187,Android Developer,Android Developer,Global Bank,LinkedIn,2026-04-24,1400.0,2400.0,1,Mobile,"En Global Bank requerimos Android Developer con experiencia en JavaScript, Swift, React Native para liderar nuestra transformación digital.",1,"JavaScript,Swift,React Native",0,0.2648,-0.43710242054488263,-0.024167323959661646,Frontend / UI Web
188,Scrum Master,Scrum Master,Caja de Seguro Social,LinkedIn,2026-03-20,2500.0,3200.0,2,Gestión & Agile,"Buscamos un Scrum Master para nuestro equipo de tecnología en Caja de Seguro Social, Panamá.",1,"Excel,Jira",3,0.2648,0.4864919522877647,-0.18614555433288016,Backend / Core Systems
189,.NET Consultant,.NET Consultant,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-03-28,2000.0,2800.0,1,Backend,"En Autoridad del Canal de Panamá (ACP) requerimos .NET Consultant con experiencia en PostgreSQL, Python, Node.js para liderar nuestra transformación digital.",1,"PostgreSQL,Python,Node.js,Spring Boot",2,0.2648,-0.21225169714914588,0.0580963876782115,DevOps & Cloud
190,UI Developer,UI Developer,Banistmo,LinkedIn,2026-03-05,1600.0,1900.0,2,Frontend,Gran oportunidad en Ciudad de Panamá. Banistmo busca UI Developer con al menos 2 años de experiencia.,1,"HTML,Git,React",0,0.2648,-0.4324728846046499,0.0031457817102633736,Frontend / UI Web
191,Administrador de Sistemas,Administrador de Sistemas,GBM Panamá,LinkedIn,2026-03-10,900.0,1400.0,2,Soporte & IT,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca Administrador de Sistemas con al menos 2 años de experiencia.,1,"Jira,Linux,Windows Server,Cisco",3,0.2648,0.2584930643292236,-0.6610963022062197,Backend / Core Systems
192,Java Engineer,Java Engineer,Cable & Wireless,LinkedIn,2025-12-30,2100.0,3300.0,3,Backend,"En Cable & Wireless requerimos Java Engineer con experiencia en PostgreSQL, Python, Node.js para liderar nuestra transformación digital.",1,"PostgreSQL,Python,Node.js,Java",2,0.2648,-0.21664751226226714,0.04930642655704249,DevOps & Cloud
193,Administrador Cloud,Administrador Cloud,Dell Technologies Panamá,LinkedIn,2026-03-16,2800.0,3700.0,6,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. Dell Technologies Panamá busca Administrador Cloud con al menos 6 años de experiencia.,1,"Git,AWS,Azure",2,0.2648,-0.292404873413474,-0.001848463562810175,DevOps & Cloud
194,Administrador de Sistemas,Administrador de Sistemas,Cable & Wireless,LinkedIn,2026-02-14,1100.0,1800.0,2,Soporte & IT,Gran oportunidad en Ciudad de Panamá. Cable & Wireless busca Administrador de Sistemas con al menos 2 años de experiencia.,1,"Excel,Jira,Linux,Windows Server,Cisco",3,0.2648,0.41357925337225593,-0.5566835235432395,Backend / Core Systems
195,Soporte Técnico IT,Soporte Técnico IT,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-02-15,900.0,1300.0,2,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) requerimos Soporte Técnico IT con experiencia en Linux, Cisco, Jira para liderar nuestra transformación digital.",1,"Jira,Linux,Cisco",3,0.2648,0.22204287661668906,-0.5886988120532081,Backend / Core Systems
196,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Telered,Konzerta,2026-03-04,2200.0,2900.0,2,DevOps & Cloud,"Buscamos un Cloud Infrastructure Specialist para nuestro equipo de tecnología en Telered, Panamá.",1,"AWS,Kubernetes,Docker,Azure,Linux",2,0.2648,-0.16780682529781515,-0.13407979525345606,DevOps & Cloud
197,IT Project Manager,IT Project Manager,GBM Panamá,Konzerta,2025-12-21,2200.0,3100.0,1,Gestión & Agile,"En GBM Panamá requerimos IT Project Manager con experiencia en Jira, Agile, Scrum para liderar nuestra transformación digital.",1,"Agile,Scrum,Jira",3,0.2648,0.2482828643820742,-0.46309476911193925,Backend / Core Systems
198,Administrador de Sistemas,Administrador de Sistemas,EY Panamá,Konzerta,2026-04-24,1100.0,1500.0,3,Soporte & IT,"En EY Panamá requerimos Administrador de Sistemas con experiencia en Linux, Jira, Windows Server para liderar nuestra transformación digital.",1,"Excel,Jira,Linux,Windows Server,Cisco",3,0.2648,0.41357925337225565,-0.5566835235432395,Backend / Core Systems
199,Python Developer,Python Developer,Banco General,Computrabajo,2026-03-17,2000.0,2600.0,2,Backend,"Buscamos un Python Developer para nuestro equipo de tecnología en Banco General, Panamá.",1,"PostgreSQL,Node.js,Java",2,0.2648,-0.1681361683808852,0.0254723312703121,DevOps & Cloud
200,Administrador de Sistemas,Administrador de Sistemas,Copa Airlines,Konzerta,2026-01-09,900.0,1400.0,2,Soporte & IT,"En Copa Airlines requerimos Administrador de Sistemas con experiencia en Cisco, Linux para liderar nuestra transformación digital.",1,"Linux,Cisco",3,0.2648,0.117299848873266,-0.44203660615828594,Backend / Core Systems
